Country,Region,Density,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital,Currency-Code,Forested Area (%),Largest city,Life expectancy,Official language
Tonga,OCEANIA                            ,147,0.458,747,,24.3,676,Nuku'alofa,TOP,0.125,Nuku'alofa,70.8,Tongan Language
Trinidad and Tobago,LATIN AMER. & CARIB    ,273,0.105,5128,4000,12.94,1,Port of Spain,TTD,0.46,Chaguanas,73.4,English
Tunisia,NORTHERN AFRICA                    ,76,0.648,163610,48000,17.56,216,Tunis,TND,0.068,Tunis,76.5,Arabic
Turkey,NEAR EAST                          ,110,0.498,783562,512000,16.03,90,Ankara,TRY,0.154,Istanbul,77.4,Turkish
Turkmenistan,C.W. OF IND. STATES ,13,0.72,488100,42000,23.83,993,Ashgabat,TMT,0.088,Ashgabat,68.1,Turkmen
Tuvalu,OCEANIA                            ,393,0.6,26,,,688,Funafuti,AUD,0.333,Singapore,,Tuvaluan Language
Uganda,SUB-SAHARAN AFRICA                 ,229,0.719,241038,46000,38.14,256,Kampala,UGX,0.097,Buganda,63,Swahili
Ukraine,C.W. OF IND. STATES ,75,0.717,603550,297000,8.7,380,Kyiv,UAH,0.167,Kyiv,71.6,Ukrainian
United Arab Emirates,NEAR EAST                          ,118,0.055,83600,63000,10.33,971,Abu Dhabi,AED,0.046,Dubai,77.8,Arabic
United Kingdom,WESTERN EUROPE                     ,281,0.717,243610,148000,11,44,London,GBP,0.131,London,81.3,English
United States,NORTHERN AMERICA                   ,36,0.444,9833517,1359000,11.6,1,"Washington, D.C.",USD,0.339,New York City,78.5,None
Uruguay,LATIN AMER. & CARIB    ,20,0.826,176215,22000,13.86,598,Montevideo,UYU,0.107,Montevideo,77.8,Spanish
Uzbekistan,C.W. OF IND. STATES ,79,0.629,447400,68000,23.3,998,Tashkent,UZS,0.075,Tashkent,71.6,Uzbek
Vanuatu,OCEANIA                            ,25,0.153,12189,,29.6,678,Port Vila,VUV,0.361,Port Vila,70.3,French
Venezuela,LATIN AMER. & CARIB    ,32,0.245,912050,343000,17.88,58,Caracas,VED,0.527,Caracas,72.1,Spanish
Vietnam,ASIA         ,314,0.393,331210,522000,16.75,84,Hanoi,VND,0.481,Ho Chi Minh City,75.3,Vietnamese
Yemen,NEAR EAST                          ,56,0.446,527968,40000,30.45,967,Sanaa,YER,0.01,Sanaa,66.1,Arabic
Zambia,SUB-SAHARAN AFRICA                 ,25,0.321,752618,16000,36.19,260,Lusaka,ZMW,0.652,Lusaka,63.5,English
Zimbabwe,SUB-SAHARAN AFRICA                 ,38,0.419,390757,51000,30.68,263,Harare,,0.355,Harare,61.2,Shona
